alternative,Q,Region,PLS,System,method,profile,rank
Accra_PLS85_PV+battery+diesel,0.7505244915055569,Accra,85,PV+battery+diesel,vikor,sustainable,10329
Lodwar_PLS85_PV+battery+diesel,0.750526662465512,Lodwar,85,PV+battery+diesel,vikor,sustainable,10330
Lodwar_PLS85_PV+battery+diesel,0.7505954749746888,Lodwar,85,PV+battery+diesel,vikor,sustainable,10331
Accra_PLS85_PV+battery+diesel,0.7506513867409307,Accra,85,PV+battery+diesel,vikor,sustainable,10332
Lusaka_PLS85_PV+battery+diesel,0.7508722162647234,Lusaka,85,PV+battery+diesel,vikor,sustainable,10333
Accra_PLS85_PV+battery+diesel,0.7510124014208941,Accra,85,PV+battery+diesel,vikor,sustainable,10334
Lusaka_PLS85_PV+battery+diesel,0.7511708796321689,Lusaka,85,PV+battery+diesel,vikor,sustainable,10335
Lodwar_PLS85_PV+battery+diesel,0.7513801839612761,Lodwar,85,PV+battery+diesel,vikor,sustainable,10336
Lodwar_PLS85_PV+battery+diesel,0.751397398969723,Lodwar,85,PV+battery+diesel,vikor,sustainable,10337
Accra_PLS85_PV+battery+diesel,0.7513981717009895,Accra,85,PV+battery+diesel,vikor,sustainable,10338
Accra_PLS85_PV+battery+diesel,0.751459190604027,Accra,85,PV+battery+diesel,vikor,sustainable,10339
Lusaka_PLS85_PV+battery+diesel,0.7517016584139233,Lusaka,85,PV+battery+diesel,vikor,sustainable,10340
Accra_PLS85_PV+battery+diesel,0.7517042282487729,Accra,85,PV+battery+diesel,vikor,sustainable,10341
Lusaka_PLS85_PV+battery+diesel,0.7518045549925407,Lusaka,85,PV+battery+diesel,vikor,sustainable,10342
Accra_PLS85_PV+battery+diesel,0.7518671670897136,Accra,85,PV+battery+diesel,vikor,sustainable,10343
Lodwar_PLS85_PV+battery+diesel,0.7518854949535329,Lodwar,85,PV+battery+diesel,vikor,sustainable,10344
Lodwar_PLS85_PV+battery+diesel,0.7519463944974122,Lodwar,85,PV+battery+diesel,vikor,sustainable,10345
Lusaka_PLS85_PV+battery+diesel,0.7520561171304647,Lusaka,85,PV+battery+diesel,vikor,sustainable,10346
Lusaka_PLS85_PV+battery+diesel,0.7521450928712026,Lusaka,85,PV+battery+diesel,vikor,sustainable,10347
Accra_PLS85_PV+battery+diesel,0.7524884656499763,Accra,85,PV+battery+diesel,vikor,sustainable,10348
Lusaka_PLS85_PV+battery+diesel,0.7525113304654667,Lusaka,85,PV+battery+diesel,vikor,sustainable,10349
Lusaka_PLS85_PV+battery+diesel,0.7525599936878973,Lusaka,85,PV+battery+diesel,vikor,sustainable,10350
Accra_PLS85_PV+battery+diesel,0.7527337331693011,Accra,85,PV+battery+diesel,vikor,sustainable,10351
Accra_PLS85_PV+battery+diesel,0.7527876447062567,Accra,85,PV+battery+diesel,vikor,sustainable,10352
Lodwar_PLS85_PV+battery+diesel,0.7528118909718797,Lodwar,85,PV+battery+diesel,vikor,sustainable,10353
Lodwar_PLS85_PV+battery+diesel,0.7529792726952165,Lodwar,85,PV+battery+diesel,vikor,sustainable,10354
Lodwar_PLS85_PV+battery+diesel,0.7530894764512395,Lodwar,85,PV+battery+diesel,vikor,sustainable,10355
Lusaka_PLS85_PV+battery+diesel,0.7531311458501104,Lusaka,85,PV+battery+diesel,vikor,sustainable,10356
Lodwar_PLS85_PV+battery+diesel,0.7531327035687105,Lodwar,85,PV+battery+diesel,vikor,sustainable,10357
Accra_PLS85_PV+battery+diesel,0.7532259873831599,Accra,85,PV+battery+diesel,vikor,sustainable,10358
Lodwar_PLS85_PV+battery+diesel,0.7532891381028627,Lodwar,85,PV+battery+diesel,vikor,sustainable,10359
Lusaka_PLS85_PV+battery+diesel,0.7533208899711286,Lusaka,85,PV+battery+diesel,vikor,sustainable,10360
Lusaka_PLS85_PV+battery+diesel,0.7534431757288792,Lusaka,85,PV+battery+diesel,vikor,sustainable,10361
Lusaka_PLS85_PV+battery+diesel,0.7535364393370175,Lusaka,85,PV+battery+diesel,vikor,sustainable,10362
Lodwar_PLS85_PV+battery+diesel,0.7536560375912493,Lodwar,85,PV+battery+diesel,vikor,sustainable,10363
