alternative,Q,Region,PLS,System,method,profile,rank
Lodwar_PLS100_PV+battery+diesel,0.31055467955317356,Lodwar,100,PV+battery+diesel,vikor,economic,2355
Accra_PLS100_PV+battery+diesel,0.3105671175388849,Accra,100,PV+battery+diesel,vikor,economic,2356
Accra_PLS100_PV+battery+diesel,0.310739997917247,Accra,100,PV+battery+diesel,vikor,economic,2357
Lusaka_PLS100_PV+battery+diesel,0.31088185327003665,Lusaka,100,PV+battery+diesel,vikor,economic,2358
Lodwar_PLS100_PV+battery+diesel,0.31097323532477583,Lodwar,100,PV+battery+diesel,vikor,economic,2359
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2360
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2361
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2362
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2363
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2364
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2365
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2366
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2367
Lodwar_PLS100_PV+battery,0.31097585948920364,Lodwar,100,PV+battery,vikor,economic,2368
Accra_PLS100_PV+battery+diesel,0.31098976005726275,Accra,100,PV+battery+diesel,vikor,economic,2369
Lodwar_PLS100_PV+battery+diesel,0.3110137091747617,Lodwar,100,PV+battery+diesel,vikor,economic,2370
Accra_PLS100_PV+battery+diesel,0.3110752545938583,Accra,100,PV+battery+diesel,vikor,economic,2371
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2372
Accra_PLS100_PV+battery,0.311140920567205,Accra,100,PV+battery,vikor,economic,2373
